creation_date,sleep_type,deep_sleep,rem_sleep,sleep_duration,sleep_start_time,schedule_variability,restorative_sleep,time_before_sound_sleep,sleep_stability,nights_with_long_awakenings,days_with_naps
2023-01-26,Tortoise,54.04,17.42,8.58,24.19,34.14,79.32,28.48,4.16,15.38,11.54
2023-02-01,Tortoise,52.07,20.04,8.08,23.96,33.15,80.30,33.97,3.87,6.67,19.35
2023-03-01,Tortoise,49.79,22.59,7.67,24.04,35.11,83.70,37.79,4.03,10.71,10.71
2023-04-01,Tortoise,57.23,20.98,8.29,24.00,41.03,84.17,31.60,3.85,16.67,6.67
2023-05-01,Tortoise,59.55,19.58,8.28,24.07,47.99,82.63,38.47,3.92,6.90,10.34
2023-06-01,Tortoise,51.62,18.17,7.83,23.77,38.20,81.39,30.74,3.91,10.34,13.33
2023-07-01,Tortoise,57.81,16.78,8.13,23.82,46.82,78.66,29.28,3.92,30.00,10.00
2023-08-01,Tortoise,59.65,19.67,7.85,23.21,42.76,83.36,40.58,4.12,12.90,16.13
2023-09-01,Tortoise,61.26,18.71,8.05,22.89,37.98,86.59,30.32,3.79,6.45,9.68
2023-10-01,Tortoise,62.55,17.86,8.20,23.02,26.72,86.66,37.19,3.61,6.90,3.45
2023-11-01,Hedgehog,60.37,18.25,7.24,23.45,47.53,87.33,30.98,3.76,7.41,7.41
